id,time_casa,time_visitante,gols_casa,gols_visitante,ambas_marcam
1,Guarani,Avaí,4,1,Sim
2,Vila Nova,Novorizontino,2,1,Sim
3,CRB,Sport,2,0,Não
4,Londrina,ABC,1,0,Não
5,Juventude,Botafogo-SP,1,2,Sim
6,Sampaio Correia,Atlético-GO,3,3,Sim
7,Vitória,Ponte Preta,3,0,Não
8,Mirassol,Chapecoense,1,0,Não
9,Ituano,Ceará,2,0,Não
10,Criciúma,Tombense,1,0,Não
11,Avaí,Mirassol,1,0,Não
12,ABC,Vitória,0,3,Não
13,Tombense,Ituano,3,0,Não
14,Chapecoense,Londrina,3,0,Não
15,Ceará,Guarani,0,3,Não
16,Sport,Vila Nova,1,0,Não
17,Novorizontino,Juventude,1,0,Não
18,Botafogo-SP,Sampaio Correia,1,0,Não
19,Atlético-GO,CRB,2,1,Sim
20,Ponte Preta,Criciúma,1,2,Sim
21,Vila Nova,Juventude,1,0,Não
22,Guarani,Ituano,1,0,Não
23,Botafogo-SP,CRB,2,0,Não
24,Criciúma,Avaí,1,0,Não
25,Novorizontino,Sport,0,0,Não
26,Vitória,Londrina,2,0,Não
27,ABC,Ceará,1,2,Sim
28,Tombense,Atlético-GO,1,1,Sim
29,Chapecoense,Ponte Preta,1,1,Sim
30,Sampaio Correia,Mirassol,1,3,Sim
31,Ceará,Vitória,0,2,Não
32,CRB,Sampaio Correia,0,0,Não
33,Londrina,Criciúma,1,1,Sim
34,Juventude,Guarani,1,0,Não
35,Sport,Tombense,3,2,Sim
36,Mirassol,Novorizontino,0,2,Não
37,Ituano,ABC,3,0,Não
38,Avaí,Vila Nova,0,3,Não
39,Atlético-GO,Chapecoense,2,1,Sim
40,Ponte Preta,Botafogo-SP,2,0,Não
41,Tombense,Avaí,0,1,Não
42,CRB,ABC,1,1,Sim
43,Chapecoense,Novorizontino,1,1,Sim
44,Sampaio Correia,Juventude,2,1,Sim
45,Sport,Guarani,2,0,Não
46,Mirassol,Vila Nova,1,1,Sim
47,Botafogo-SP,Vitória,0,3,Não
48,Criciúma,Ituano,2,1,Sim
49,Atlético-GO,Londrina,2,1,Sim
50,Ponte Preta,Ceará,0,0,Não
51,ABC,Botafogo-SP,1,2,Sim
52,Londrina,Ponte Preta,3,0,Não
53,Juventude,Mirassol,0,1,Não
54,Ceará,Tombense,2,0,Não
55,Vitória,Atlético-GO,2,3,Sim
56,Novorizontino,CRB,0,1,Não
57,Ituano,Sport,1,1,Sim
58,Avaí,Chapecoense,1,4,Sim
59,Vila Nova,Criciúma,0,0,Não
60,Guarani,Sampaio Correia,2,0,Não
61,Ponte Preta,Guarani,1,1,Sim
62,Tombense,Londrina,0,2,Não
63,Chapecoense,Juventude,0,2,Não
64,Sampaio Correia,ABC,1,0,Não
65,Sport,Botafogo-SP,3,0,Não
66,Mirassol,Vitória,2,0,Não
67,Ituano,Novorizontino,0,2,Não
68,Criciúma,Ceará,1,2,Sim
69,Atlético-GO,Avaí,0,0,Não
70,CRB,Vila Nova,0,3,Não
71,Guarani,Chapecoense,3,3,Sim
72,Vila Nova,Ituano,1,0,Não
73,Criciúma,Sport,1,0,Não
74,ABC,Tombense,1,0,Não
75,Londrina,Ceará,1,3,Sim
76,Juventude,Atlético-GO,3,0,Não
77,Sampaio Correia,Ponte Preta,0,0,Não
78,Vitória,CRB,1,0,Não
79,Novorizontino,Avaí,2,0,Não
80,Botafogo-SP,Mirassol,1,0,Não
81,Ituano,Londrina,3,1,Sim
82,CRB,Juventude,1,2,Sim
83,Tombense,Guarani,1,1,Sim
84,Chapecoense,Sampaio Correia,0,1,Não
85,Ceará,Novorizontino,0,3,Não
86,Sport,ABC,4,1,Sim
87,Mirassol,Criciúma,1,0,Não
88,Avaí,Vitória,1,1,Sim
89,Atlético-GO,Botafogo-SP,1,1,Sim
90,Ponte Preta,Vila Nova,1,0,Não
91,Criciúma,Atlético-GO,3,0,Não
92,Vila Nova,Sampaio Correia,3,0,Não
93,Guarani,CRB,0,1,Não
94,Mirassol,Ponte Preta,1,0,Não
95,Botafogo-SP,Tombense,0,0,Não
96,Vitória,Ituano,3,0,Não
97,Ceará,Chapecoense,2,0,Não
98,ABC,Novorizontino,0,1,Não
99,Londrina,Sport,1,2,Sim
100,Juventude,Avaí,3,2,Sim
101,Chapecoense,Vila Nova,0,1,Não
102,CRB,Mirassol,2,0,Não
103,Tombense,Vitória,1,2,Sim
104,Sampaio Correia,Londrina,2,0,Não
105,Sport,Avaí,2,1,Sim
106,Novorizontino,Guarani,1,0,Não
107,Botafogo-SP,Ituano,0,2,Não
108,Criciúma,Juventude,0,1,Não
109,Atlético-GO,Ceará,0,3,Não
110,Ponte Preta,ABC,0,0,Não
111,Ceará,CRB,1,3,Sim
112,Vitória,Criciúma,0,1,Não
113,Novorizontino,Sampaio Correia,1,0,Não
114,Ituano,Atlético-GO,1,1,Sim
115,Avaí,Botafogo-SP,1,1,Sim
116,Vila Nova,Guarani,0,0,Não
117,Ponte Preta,Sport,1,1,Sim
118,Londrina,Mirassol,1,2,Sim
119,Juventude,Tombense,1,2,Sim
120,ABC,Chapecoense,1,1,Sim
121,Guarani,Vitória,2,0,Não
122,CRB,Ituano,2,2,Sim
123,Tombense,Novorizontino,1,2,Sim
124,Chapecoense,Criciúma,1,1,Sim
125,Sampaio Correia,Ceará,1,1,Sim
126,Sport,Juventude,3,0,Não
127,Mirassol,ABC,3,2,Sim
128,Botafogo-SP,Vila Nova,0,3,Não
129,Avaí,Londrina,0,0,Não
130,Atlético-GO,Ponte Preta,1,0,Não
131,Vila Nova,Tombense,1,0,Não
132,ABC,Atlético-GO,1,1,Sim
133,Londrina,Juventude,1,2,Sim
134,Chapecoense,Sport,1,1,Sim
135,Ceará,Avaí,0,0,Não
136,Vitória,Sampaio Correia,2,1,Sim
137,Novorizontino,Botafogo-SP,0,1,Não
138,Ituano,Ponte Preta,0,1,Não
139,Criciúma,CRB,2,1,Sim
140,Guarani,Mirassol,2,1,Sim
141,CRB,Londrina,2,1,Sim
142,Tombense,Chapecoense,4,2,Sim
143,Juventude,Vitória,1,0,Não
144,Sampaio Correia,Criciúma,0,2,Não
145,Sport,Ceará,2,0,Não
146,Botafogo-SP,Guarani,1,0,Não
147,Mirassol,Ituano,0,1,Não
148,Avaí,ABC,0,2,Não
149,Atlético-GO,Vila Nova,1,1,Sim
150,Ponte Preta,Novorizontino,1,0,Não
151,Novorizontino,Atlético-GO,2,2,Sim
152,Ceará,Botafogo-SP,3,0,Não
153,Guarani,Londrina,2,1,Sim
154,ABC,Criciúma,0,1,Não
155,Ituano,Juventude,1,1,Sim
156,Avaí,Ponte Preta,0,1,Não
157,Tombense,Sampaio Correia,0,1,Não
158,Chapecoense,CRB,2,1,Sim
159,Sport,Mirassol,0,0,Não
160,Vila Nova,Vitória,1,0,Não
